yyyy  mm  dd  HH MIN   SEC          u          v          w          T
2008   5   9   5   0  8.70    2.88314    0.16412   -0.24747  288.32455
2008   5   9   5   0  8.80    3.00362    0.28478   -0.01958  288.32457
2008   5   9   5   0  8.90    2.89216    0.10907   -0.09446  288.28959
2008   5   9   5   0  9.00    2.74732    0.14165   -0.11644  288.29161
2008   5   9   5   0  9.10    2.89668    0.06145   -0.19705  288.28763
2008   5   9   5   0  9.20    2.95380   -0.05871   -0.23618  288.41065
2008   5   9   5   0  9.30    2.73246   -0.37888    0.07476  288.41067
2008   5   9   5   0  9.40    2.94450    0.22863   -0.21785  288.37868
2008   5   9   5   0  9.50    2.90649    0.27186   -0.18544  288.39370
2008   5   9   5   0  9.60    2.78724    0.50855   -0.30349  288.30472
2008   5   9   5   0  9.70    2.62582    0.48952   -0.15620  288.28074
2008   5   9   5   0  9.80    2.56768    0.82790   -0.37345  288.25876
2008   5   9   5   0  9.90    3.00315    0.60938   -0.53610  288.19678
2008   5   9   5   0 10.00    3.00861    0.37001   -0.61379  288.33980
2008   5   9   5   0 10.10    2.70071    0.08319   -0.29947  288.22882
2008   5   9   5   0 10.20    2.68027    0.54747   -0.23273  288.24584
2008   5   9   5   0 10.30    2.70733    0.55698   -0.36838  288.17686
2008   5   9   5   0 10.40    2.66004    0.68698   -0.23265  288.19388
2008   5   9   5   0 10.50    2.77791    0.77642   -0.20838  288.18090
2008   5   9   5   0 10.60    2.80881    0.69760   -0.54108  288.39392
2008   5   9   5   0 10.70    3.00116    0.62949   -0.63729  288.40894
2008   5   9   5   0 10.80    3.02172    0.52309   -0.65792  288.28996
2008   5   9   5   0 10.90    3.16992    0.55506   -0.49317  288.39398
2008   5   9   5   0 11.00    2.72410    0.89926   -0.29974  288.30700
2008   5   9   5   0 11.10    2.89159    0.99023   -0.54891  288.28802
2008   5   9   5   0 11.20    2.89197    0.94762   -0.26694  288.26404
2008   5   9   5   0 11.30    2.64936    0.92613   -0.21298  288.22906
2008   5   9   5   0 11.40    2.61299    0.73837   -0.00993  288.25908
2008   5   9   5   0 11.50    2.90659    0.66408   -0.23338  288.27910
2008   5   9   5   0 11.60    2.53262    0.59807   -0.23441  288.24412
2008   5   9   5   0 11.70    2.29468    0.49752   -0.25664  288.30514
2008   5   9   5   0 11.80    2.28581    0.70338   -0.10281  288.26216
2008   5   9   5   0 11.90    2.27356    0.57499   -0.06394  288.26419
2008   5   9   5   0 12.00    2.36818    0.54341   -0.05272  288.26621
2008   5   9   5   0 12.10    2.70327    0.51410   -0.02590  288.26623
2008   5   9   5   0 12.20    2.96847    0.55838   -0.27631  288.24425
