           freq              Su              Sv              Sw
       0.138123        0.314740        0.210536        0.132650
       0.140364        0.309493        0.208315        0.134481
       0.142642        0.314960        0.206896        0.138058
       0.144956        0.305848        0.206995        0.134588
       0.147308        0.295044        0.212398        0.127745
       0.149698        0.290224        0.207658        0.129230
       0.152127        0.257820        0.203143        0.125701
       0.154595        0.245270        0.203892        0.122995
       0.157103        0.246421        0.195682        0.126255
       0.159652        0.241878        0.189934        0.127478
       0.162242        0.237778        0.187328        0.132510
       0.164875        0.233670        0.181097        0.133268
       0.167550        0.227237        0.178340        0.128171
       0.170268        0.225417        0.175226        0.124270
       0.173031        0.224189        0.175209        0.122204
       0.175838        0.205561        0.158618        0.116349
       0.178691        0.205953        0.160700        0.116050
       0.181590        0.201691        0.159068        0.118998
       0.184536        0.192289        0.154132        0.115170
       0.187530        0.189585        0.150497        0.112312
       0.190573        0.175861        0.145621        0.110842
       0.193665        0.164287        0.141154        0.104755
       0.196807        0.164114        0.134902        0.103468
       0.200000        0.164309        0.131868        0.098562
       0.203245        0.168814        0.131455        0.099100
       0.206542        0.162046        0.126595        0.095768
       0.209894        0.152843        0.125521        0.090469
       0.213299        0.148235        0.124461        0.085752
       0.216760        0.146363        0.120715        0.082270
       0.220277        0.143614        0.121758        0.081823
       0.223850        0.138636        0.119284        0.076876
       0.227482        0.135186        0.115252        0.073457
       0.231173        0.129991        0.107391        0.070194
       0.234924        0.122900        0.106270        0.064995
       0.238735        0.116025        0.104530        0.064999
       0.242609        0.120184        0.102146        0.067614
       0.246545        0.120338        0.097455        0.072378
       0.250545        0.111593        0.094146        0.073925
       0.254610        0.108027        0.086268        0.074511
       0.258741        0.106356        0.088494        0.073699
       0.262939        0.102896        0.082739        0.070527
       0.267205        0.099126        0.080075        0.070874
       0.271540        0.096224        0.076883        0.070278
       0.275946        0.095539        0.080857        0.069540
       0.280423        0.086641        0.082656        0.067321
       0.284973        0.085778        0.084142        0.065743
       0.289596        0.084234        0.083669        0.061435
       0.294295        0.076439        0.085456        0.055317
       0.299070        0.073647        0.082632        0.049704
       0.303922        0.067387        0.084109        0.048817
       0.308853        0.066231        0.083008        0.046057
       0.313864        0.065230        0.085618        0.045988
       0.318956        0.073923        0.085958        0.043211
       0.324131        0.074505        0.084975        0.044061
       0.329390        0.074343        0.078136        0.043885
       0.334734        0.075460        0.076347        0.044030
       0.340165        0.073468        0.073798        0.042886
       0.345684        0.074020        0.072281        0.042563
       0.351293        0.075843        0.068462        0.043265
       0.356993        0.072140        0.064368        0.043699
       0.362785        0.070161        0.062181        0.046400
       0.368671        0.060580        0.060547        0.046579
       0.374652        0.053949        0.058250        0.046454
       0.380731        0.051188        0.058892        0.044910
       0.386908        0.051083        0.053519        0.045578
       0.393185        0.047123        0.052387        0.047145
       0.399565        0.045604        0.052117        0.046493
       0.406047        0.044265        0.055135        0.046099
       0.412635        0.042208        0.052439        0.042341
       0.419330        0.040996        0.050945        0.040874
       0.426134        0.041001        0.049601        0.039878
       0.433048        0.037789        0.047722        0.039154
       0.440074        0.033974        0.050217        0.036259
       0.447214        0.034859        0.051438        0.034604
       0.454469        0.034370        0.052483        0.030615
       0.461843        0.034962        0.053800        0.030629
       0.469336        0.032979        0.056195        0.030052
       0.476951        0.032891        0.056734        0.028582
       0.484689        0.034445        0.061445        0.029098
       0.492553        0.035611        0.058724        0.029057
       0.500545        0.036907        0.053915        0.028916
       0.508666        0.037410        0.048745        0.031576
       0.516919        0.037514        0.042740        0.032017
       0.525306        0.036610        0.038766        0.034393
       0.533828        0.034138        0.033786        0.034754
       0.542490        0.033247        0.033684        0.035762
       0.551291        0.028978        0.034497        0.035497
       0.560236        0.026504        0.035943        0.032524
       0.569325        0.026324        0.038593        0.029141
